StartupName,FoundedYear,Country,Industry,FundingStage,TotalFunding($M),NumberofEmployees,AnnualRevenue($M),Valuation($B),SuccessScore,Acquired?,IPO?,CustomerBase(Millions),TechStack,SocialMediaFollowers,,Management focus,Revenue Per Employee,Company Tier,,,
Startup_1,2009,Canada,Healthcare,SeriesA, $269 ,3047," $104,000,000 ", $46.11 ,5,No,No,43,"Java,Spring",4158814,,Scalability," 34,132 ",Decacorn,,,
Startup_2,2004,UK,Healthcare,IPO, $40 ,630," $431,000,000 ", $33.04 ,1,No,Yes,64,"Node.js,React",4063014,,Shareholder Value," 684,127 ",Decacorn,,,
Startup_3,2018,USA,Healthcare,Seed, $399 ,2475," $375,000,000 ", $15.79 ,8,No,No,74,"PHP,Laravel",3449855,,Product-Market Fit," 151,515 ",Decacorn,,,
Startup_4,2014,France,Tech,Seed, $404 ,1011," $907,000,000 ", $17.12 ,7,Yes,Yes,26,"Python,AI",630421,,Product-Market Fit," 897,132 ",Decacorn,,,
Startup_5,2006,Japan,Energy,SeriesC, $419 ,3917," $280,000,000 ", $4.39 ,6,Yes,Yes,30,"Node.js,React",365956,,Efficiency & Profit," 71,483 ",Unicorn,,,
Startup_6,2017,UK,FinTech,SeriesB, $468 ,172," $430,000,000 ", $34.16 ,9,No,No,88,"Node.js,React",2691852,,Market Expansion," 2,500,000 ",Decacorn,,,
Startup_7,2014,China,Gaming,SeriesC, $166 ,2614," $548,000,000 ", $16.55 ,7,Yes,No,88,"Node.js,React",2564422,,Efficiency & Profit," 209,640 ",Decacorn,,,
Startup_8,2018,Australia,EdTech,SeriesB, $261 ,747," $73,000,000 ", $0.17 ,9,No,Yes,62,"Node.js,React",4344319,,Market Expansion," 97,724 ",Growth,,,
Startup_9,2006,Canada,AI,SeriesB, $172 ,4387," $324,000,000 ", $1.94 ,9,Yes,Yes,90,"C++,ML",2274371,,Market Expansion," 73,855 ",Unicorn,,,
Startup_10,2004,USA,E-commerce,SeriesA, $113 ,873," $925,000,000 ", $11.22 ,8,No,No,63,"Java,Spring",3169624,,Scalability," 1,059,565 ",Decacorn,,,
Startup_11,2011,Brazil,Gaming,SeriesB, $42 ,4233," $12,000,000 ", $38.93 ,6,Yes,No,21,"Java,Spring",3454684,,Market Expansion," 2,835 ",Decacorn,,,
Startup_12,2020,UK,Energy,SeriesA, $346 ,4704," $853,000,000 ", $22.84 ,1,Yes,Yes,3,"Java,Spring",4915500,,Scalability," 181,335 ",Decacorn,,,
Startup_13,2002,France,EdTech,IPO, $134 ,4347," $752,000,000 ", $36.99 ,2,Yes,No,75,"Node.js,React",3600172,,Shareholder Value," 172,993 ",Decacorn,,,
Startup_14,2022,Canada,Gaming,SeriesA, $71 ,1234," $334,000,000 ", $3.70 ,3,Yes,No,56,"Node.js,React",174818,,Scalability," 270,665 ",Unicorn,,,
Startup_15,2004,Australia,EdTech,SeriesB, $290 ,2773," $361,000,000 ", $32.66 ,1,Yes,No,45,"Python,AI",39240,,Market Expansion," 130,184 ",Decacorn,,,
Startup_16,2017,India,Gaming,SeriesC, $177 ,3585," $576,000,000 ", $28.47 ,5,Yes,Yes,37,"Node.js,React",2022069,,Efficiency & Profit," 160,669 ",Decacorn,,,
